"Name","IPAddress","Status","ErrorMessage"
"bnodspei01-b-n","172.28.220.2","OK",""
"bnodspei02-b","172.27.207.19","OK",""
"bnodspeiamp-b","172.28.220.17","OK",""
"bnodspeicep-b","172.27.207.56","OK",""
"bnodstorage1-b","172.27.213.7","OK",""
"bnodstorage2-b","172.27.213.8","OK",""
"bnodstorage3-b","172.27.213.9","OK",""
"bnodtest2012r2","172.27.206.141","OK",""
"bnodtest2k19","","NOT_OK","bnodtest2k19 : El nombre DNS no existe"
"bnodtestw2k16","172.27.206.140","OK",""
"bnodunlockusr-b","172.27.206.8","OK",""
"bnodvarmer-b","172.27.205.17","OK",""
"bnodveeamproxyb","172.27.206.136","OK",""
"bnodveeamwasb","172.27.206.138","OK",""
"bnodwebconta-b","172.27.201.58","OK",""
"bnodworker1-b","172.27.213.10","OK",""
"bnodworker2-b","172.27.213.11","OK",""
"bnodworker3-b","172.27.213.12","OK",""
"bnodwsrenapo-b","172.27.222.18","OK",""
"bnodyatla02-b","172.27.211.19","OK",""
"bnodyatla19-b","172.27.201.88","OK",""
"bnodyatla-b","172.27.211.5","OK",""
"bnohbdhist01-a","172.17.208.14","OK",""
"bnohbdhist02-a","172.17.208.27","OK",""
"bnohbdhist-a","172.17.208.25","OK",""
"bnopacportal-a","172.17.216.98","OK",""
"bnopalfr-a","","NOT_OK","bnopalfr-a : El nombre DNS no existe"
"bnopappmovil-a","172.17.201.52","OK",""
"bnopapsicalc-a","172.17.202.15","OK",""
"bnopaudit-a","172.17.206.80","OK",""
"bnopaudvault-a","","NOT_OK","bnopaudvault-a : El nombre DNS no existe"
"bnopavaluos-a","","NOT_OK","bnopavaluos-a : El nombre DNS no existe"
"bnopbatanapp-a","172.17.201.45","OK",""
"bnopbatandb-a","172.17.201.46","OK",""
"bnopbdcartera01-a","172.17.202.20","OK",""
"bnopbdcartera-a","172.17.202.50","OK",""
"bnopbdcartera-a-nw","","NOT_OK","bnopbdcartera-a-nw : El nombre DNS no existe"
"bnopbdcoas-a","172.17.208.31","OK",""
"bnopbdconta2-a","172.17.201.54","OK",""
"bnopbdconta3-a","172.17.208.26","OK",""
"bnopbdconta3-a-nw","","NOT_OK","bnopbdconta3-a-nw : El nombre DNS no existe"
"bnopbdconta-a","172.17.201.53","OK",""
"bnopbdderiv-a","172.17.203.50","OK",""
"bnopbddmart1-a","172.17.202.52","OK",""
"bnopbdfiduc-a","172.17.201.51","OK",""
"bnopbdindeval-a","172.17.204.6","OK",""
"bnopbdintra-a","172.17.201.58","OK",""
"bnopbdloborh-a","172.17.208.6","OK",""
"bnopbdmecm-a","172.17.201.116","OK",""
"bnopbdmongo-a","172.17.201.82","OK",""
"bnopbdomr13c-a","172.17.208.45","OK",""
"bnopbdora04-a","172.17.204.24","OK",""
"bnopbdora06-a","172.17.204.26","OK",""
"bnopbdora07-a","172.17.208.11","OK",""
"bnopbdora08-a","172.17.208.9","OK",""
"bnopbdora09-a","172.17.208.10","OK",""
"bnopbdora10-a","172.17.208.24","OK",""
"bnopbdora11-a","172.17.208.32","OK",""
"bnopbdora12-a","172.17.208.36","OK",""
"bnopbdpdtic-a","172.17.206.55","OK",""
"bnopbdserv-a","172.17.201.55","OK",""
"bnopbdsgcpa01","172.17.206.86","OK",""
"bnopbdsial-a","172.17.208.23","OK",""
"bnopbdsicalc2-b","","NOT_OK","bnopbdsicalc2-b : El nombre DNS no existe"
"bnopbdsicalc-a","172.17.202.16","OK",""
"bnopbdteso-a","172.17.208.8","OK",""
"bnopbdteso-a-nw","","NOT_OK","bnopbdteso-a-nw : El nombre DNS no existe"
"bnopbpa01-a","172.17.201.25","OK",""
"bnopcaapmdb","172.27.206.99","OK",""
"bnopcaapmmgr","172.27.206.98","OK",""
"bnopcaapmweb","172.27.206.100","OK",""
"bnopcajasper","172.27.206.101","OK",""
"bnopcartera-a","172.17.202.14","OK",""
"bnopcarteraat-a","172.17.202.51","OK",""
"bnopcashcs-a","172.17.204.10","OK",""
"bnopcashweb-a","172.17.204.41","OK",""
"bnopcaspectrum1","172.27.206.95","OK",""
"bnopcaspectrum2","172.27.206.96","OK",""
"bnopcasrvcatser","172.27.206.105","OK",""
"bnopcasrvdb","172.27.206.102","OK",""
"bnopcasrvproce","172.27.206.104","OK",""
"bnopcasrvreport","172.27.206.106","OK",""
"bnopcasrvweb","172.27.206.103","OK",""
"bnopcauimbd","172.27.206.90","OK",""
"bnopcauimhub01","172.27.206.91","OK",""
"bnopcauimhub02","172.27.206.92","OK",""
"bnopcauimhub03","172.27.206.93","OK",""
"bnopcauimump","172.27.206.94","OK",""
"bnopcg01-a","172.17.201.22","OK",""
"bnopcgd-a","172.17.201.24","OK",""
"bnopcitrix01-a","172.17.90.225","OK",""
"bnopcitrix02-a","172.17.90.113","OK",""
"bnopcitrix03-a","172.17.90.217","OK",""
"bnopcitrix04-a","172.17.90.233","OK",""
"bnopcitrix05-a","172.17.90.65","OK",""
"bnopcitrix06-a","172.17.90.73","OK",""
"bnopcitrix10-a","172.17.206.33","OK",""
"bnopcitrixp02-a","172.17.90.241","OK",""
"bnopcitrixp-a","172.17.90.97","OK",""
"bnopcloud12c-a","172.17.206.56","OK",""
"bnopcoaspei2-a","172.17.204.39","OK",""
"bnopcoaspei-a","172.17.204.38","OK",""
"bnopconsca-a","172.17.206.42","OK",""
"bnopctxcash01-a","172.17.204.30","OK",""
"bnopctxdc-a","172.17.206.88","OK",""
"bnopctxderi1a","","NOT_OK","bnopctxderi1a : El nombre DNS no existe"
"bnopctxderi2a","","NOT_OK","bnopctxderi2a : El nombre DNS no existe"
"bnopctxgiro-a","172.17.205.11","OK",""
"bnopctxls-a","172.17.206.89","OK",""
"bnopctxmsbada01","172.17.206.139","OK",""
"bnopctxsf-a","172.17.206.90","OK",""
"bnopctxsigro1-a","172.17.201.79","OK",""
"bnopctxteso1a","","NOT_OK","bnopctxteso1a : El nombre DNS no existe"
"bnopctxteso2a","","NOT_OK","bnopctxteso2a : El nombre DNS no existe"
"bnopctxvarm-a","172.17.205.10","OK",""
"bnopdbcloud12c-a","172.17.206.57","OK",""
"bnopdbobiee-a","172.17.211.5","OK",""
"bnopdbportal-a","172.17.201.10","OK",""
"bnopdeployos-a","172.17.206.145","OK",""
"bnopef-a","","NOT_OK","bnopef-a : El nombre DNS no existe"
"bnopefindeval-a","","NOT_OK","bnopefindeval-a : El nombre DNS no existe"
"bnopesb-a","172.17.204.20","OK",""
"bnopexada01","172.17.206.103","OK",""
"bnopexcasa04","172.17.206.105","OK",""
"bnopexcasa05","172.17.206.106","OK",""
"bnopexcasb02","172.27.221.2","OK",""
"bnopexedga03","172.17.206.107","OK",""
"bnopexedga04","172.17.206.120","OK",""
"bnopexedgb02","172.27.221.1","OK",""
"bnopexnoda04","172.17.206.108","OK",""
"bnopexnoda05","172.17.206.131","OK",""
"bnopexnodb04","172.27.210.102","OK",""
"bnopfarac-a","172.17.216.106","OK",""
"bnopfilesa01","172.17.206.11","OK",""
"bnopfilesa02","172.17.206.12","OK",""
"bnopfilesa04","172.17.206.16","OK",""
"bnopfilesa05","172.17.206.17","OK",""
"bnopfilesa07","172.17.206.36","OK",""
"bnopfilesa08","172.17.206.37","OK",""
